날짜,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
20160821,27,18,0.043,0.017,0.3,0.004
20160822,29,18,0.036,0.023,0.3,0.004
20160823,34,21,0.032,0.028,0.4,0.004
20160824,35,22,0.03,0.029,0.4,0.005
20160825,30,18,0.025,0.026,0.4,0.004
20160826,14,6,0.029,0.015,0.3,0.004
20160827,13,5,0.028,0.016,0.3,0.004
20160828,11,4,0.023,0.011,0.3,0.004
20160829,16,7,0.02,0.018,0.3,0.004
20160830,28,9,0.022,0.017,0.3,0.004
20160831,18,7,0.018,0.018,0.3,0.004
20160901,60,33,0.04,0.027,0.6,0.005
20160902,33,23,0.039,0.02,0.4,0.004
20160903,21,13,0.03,0.024,0.4,0.004
20160904,22,13,0.021,0.022,0.5,0.004
20160905,31,17,0.022,0.026,0.5,0.004
20160906,58,35,0.027,0.031,0.5,0.005
20160907,76,51,0.029,0.03,0.6,0.005
20160908,48,30,0.019,0.035,0.6,0.005
20160909,42,27,0.025,0.032,0.6,0.004
20160910,41,27,0.032,0.029,0.5,0.004
20160911,39,27,0.039,0.02,0.5,0.004
20160912,29,18,0.018,0.026,0.5,0.004
20160913,18,10,0.022,0.025,0.4,0.004
20160914,32,21,0.032,0.024,0.5,0.004
20160915,41,27,0.028,0.023,0.5,0.004
20160916,50,35,0.036,0.022,0.5,0.007
20160917,29,20,0.036,0.013,0.4,0.004
20160918,23,13,0.035,0.011,0.3,0.003
20160919,13,5,0.027,0.014,0.3,0.003
20160920,18,10,0.029,0.017,0.3,0.003
20160921,33,22,0.024,0.026,0.4,0.004
20160922,40,26,0.026,0.03,0.4,0.004
20160923,51,33,0.031,0.037,0.5,0.004
20160924,61,41,0.041,0.038,0.6,0.005
20160925,53,36,0.032,0.035,0.5,0.005
20160926,45,29,0.018,0.04,0.5,0.004
20160927,35,23,0.008,0.037,0.5,0.004
20160928,35,21,0.01,0.03,0.5,0.004
20160929,14,6,0.015,0.017,0.4,0.004
20160930,30,14,0.012,0.03,0.4,0.004
20161001,45,26,0.012,0.037,0.6,0.004
20161002,29,17,0.011,0.026,0.5,0.004
20161003,17,9,0.021,0.019,0.4,0.004
20161004,30,15,0.02,0.025,0.4,0.004
20161005,26,13,0.026,0.02,0.4,0.004
20161006,38,18,0.024,0.023,0.5,0.004
20161007,26,12,0.018,0.024,0.4,0.004
20161008,21,10,0.028,0.016,0.4,0.004
20161009,18,9,0.027,0.012,0.3,0.004
20161010,27,11,0.018,0.028,0.4,0.004
20161011,44,22,0.013,0.042,0.6,0.005
20161012,55,29,0.022,0.027,0.5,0.004
20161013,42,20,0.014,0.038,0.5,0.005
20161014,72,41,0.012,0.048,0.7,0.005
20161015,78,49,0.016,0.047,0.8,0.005
20161016,54,36,0.012,0.035,0.6,0.004
20161017,51,32,0.017,0.032,0.6,0.004
20161018,55,29,0.012,0.039,0.7,0.004
20161019,64,36,0.021,0.05,0.7,0.005
20161020,64,37,0.023,0.041,0.7,0.004
20161021,24,12,0.023,0.023,0.4,0.004
20161022,29,15,0.022,0.024,0.4,0.004
20161023,11,6,0.025,0.014,0.3,0.003
20161024,17,7,0.018,0.024,0.3,0.003
20161025,16,9,0.013,0.027,0.5,0.003
20161026,41,21,0.007,0.034,0.8,0.004
20161027,44,22,0.009,0.032,0.6,0.004
20161028,37,17,0.018,0.026,0.5,0.004
20161029,35,16,0.023,0.019,0.3,0.004
20161030,26,12,0.015,0.028,0.4,0.004
20161031,29,15,0.009,0.034,0.5,0.005
20161101,23,10,0.021,0.02,0.3,0.004
20161102,35,16,0.01,0.038,0.5,0.004
20161103,41,23,0.012,0.043,0.6,0.005
20161104,60,33,0.025,0.038,0.6,0.006
20161105,75,44,0.036,0.033,0.6,0.005
20161106,32,19,0.023,0.023,0.4,0.004
20161107,34,23,0.019,0.027,0.4,0.004
20161108,64,49,0.025,0.019,0.5,0.004
20161109,41,27,0.015,0.031,0.5,0.004
20161110,41,26,0.004,0.044,0.6,0.004
20161111,50,22,0.014,0.035,0.6,0.004
20161112,75,31,0.016,0.042,0.7,0.005
20161113,62,30,0.014,0.04,0.6,0.005
20161114,53,29,0.007,0.044,0.7,0.004
20161115,58,20,0.02,0.023,0.4,0.004
20161116,54,27,0.006,0.044,0.6,0.005
20161117,74,39,0.006,0.051,0.9,0.005
20161118,94,54,0.005,0.056,1,0.006
20161119,56,34,0.01,0.041,0.6,0.005
20161120,44,24,0.019,0.024,0.6,0.004
20161121,62,29,0.008,0.042,0.7,0.004
20161122,43,18,0.02,0.019,0.4,0.004
20161123,38,15,0.016,0.022,0.4,0.004
20161124,27,13,0.019,0.023,0.4,0.005
20161125,39,21,0.008,0.042,0.7,0.005
20161126,54,36,0.003,0.046,0.8,0.005
20161127,71,48,0.004,0.04,0.8,0.005
20161128,81,39,0.015,0.027,0.6,0.005
20161129,40,23,0.007,0.042,0.7,0.005
20161130,46,27,0.003,0.048,0.7,0.006
20161201,50,26,0.02,0.022,0.5,0.005
20161202,37,17,0.01,0.036,0.6,0.005
20161203,54,30,0.006,0.051,0.8,0.006
20161204,81,53,0.003,0.058,1,0.006
20161205,85,56,0.014,0.036,0.8,0.006
20161206,26,12,0.015,0.026,0.4,0.005
20161207,51,27,0.005,0.046,0.7,0.006
20161208,56,34,0.005,0.045,0.8,0.005
20161209,34,23,0.016,0.026,0.5,0.005
20161210,34,21,0.014,0.029,0.5,0.004
20161211,35,22,0.01,0.036,0.7,0.005
20161212,46,29,0.003,0.047,0.8,0.005
20161213,62,40,0.008,0.043,0.9,0.006
20161214,53,30,0.008,0.03,0.6,0.005
20161215,35,17,0.017,0.021,0.4,0.005
20161216,33,17,0.013,0.03,0.5,0.005
20161217,57,35,0.005,0.05,0.9,0.006
20161218,49,33,0.006,0.045,0.8,0.005
20161219,38,24,0.006,0.041,0.7,0.005
20161220,53,34,0.005,0.047,0.9,0.005
20161221,40,25,0.006,0.038,0.7,0.005
20161222,30,21,0.011,0.025,0.6,0.004
20161223,52,36,0.016,0.018,0.5,0.004
20161224,67,51,0.01,0.028,0.7,0.005
20161225,56,42,0.005,0.035,0.9,0.004
20161226,50,33,0.005,0.04,0.9,0.005
20161227,41,27,0.019,0.019,0.5,0.005
20161228,44,25,0.009,0.036,0.6,0.005
20161229,35,16,0.014,0.026,0.5,0.005
20161230,42,24,0.006,0.042,0.7,0.005
20161231,58,40,0.003,0.051,1,0.006
20170101,77,57,0.004,0.046,1,0.005
20170102,110,79,0.016,0.04,0.9,0.006
20170103,79,52,0.013,0.043,0.8,0.006
20170104,55,35,0.009,0.051,0.9,0.006
20170105,36,22,0.011,0.036,0.7,0.005
20170106,20,13,0.013,0.035,0.5,0.004
20170107,54,37,0.005,0.049,0.9,0.005
20170108,31,22,0.015,0.032,0.6,0.004
20170109,59,46,0.027,0.021,0.6,0.005
20170110,31,16,0.023,0.02,0.4,0.005
20170111,24,12,0.015,0.029,0.5,0.005
20170112,30,16,0.017,0.028,0.5,0.005
20170113,30,13,0.022,0.019,0.4,0.004
20170114,44,12,0.024,0.013,0.4,0.004
20170115,27,14,0.016,0.022,0.5,0.004
20170116,47,26,0.006,0.042,0.8,0.005
20170117,68,45,0.003,0.06,1.1,0.007
20170118,99,73,0.005,0.053,1.1,0.007
20170119,102,72,0.007,0.052,1,0.006
20170120,57,40,0.019,0.03,0.6,0.005
20170121,48,34,0.008,0.042,0.7,0.005
20170122,75,27,0.028,0.015,0.5,0.006
20170123,47,35,0.021,0.025,0.5,0.005
20170124,39,28,0.013,0.039,0.6,0.005
20170125,49,36,0.008,0.05,0.8,0.005
20170126,64,48,0.009,0.055,1,0.006
20170127,107,20,0.026,0.016,0.4,0.004
20170128,32,12,0.011,0.033,0.6,0.004
20170129,27,16,0.006,0.037,0.7,0.004
20170130,48,34,0.027,0.016,0.5,0.005
20170131,29,18,0.011,0.036,0.6,0.004
20170201,35,21,0.018,0.031,0.6,0.005
20170202,32,17,0.017,0.033,0.6,0.005
20170203,68,45,0.017,0.046,0.8,0.006
20170204,96,70,0.004,0.061,1.1,0.005
20170205,70,55,0.015,0.037,0.8,0.005
20170206,40,27,0.028,0.021,0.5,0.005
20170207,40,23,0.008,0.041,0.6,0.005
20170208,53,30,0.009,0.042,0.7,0.006
20170209,50,18,0.026,0.017,0.4,0.005
20170210,32,17,0.027,0.015,0.4,0.004
20170211,29,16,0.024,0.019,0.4,0.004
20170212,31,18,0.019,0.029,0.6,0.005
20170213,43,28,0.008,0.049,0.8,0.006
20170214,51,32,0.019,0.038,0.6,0.005
20170215,60,41,0.008,0.059,0.9,0.008
